81.746	79.747	83.745	
81.29	78.54	84.04	
81.123	78.089	84.156	
81.061	77.92	84.202	
81.039	77.857	84.221	
81.031	77.833	84.228	
81.028	77.824	84.231	
81.026	77.821	84.232	
81.026	77.82	84.232	
81.026	77.819	84.232	
81.026	77.819	84.232	
88.839	85.538	92.14	
91.706	88.574	94.837	
92.758	89.741	95.775	
93.144	90.172	96.117	
93.286	90.329	96.243	
93.338	90.386	96.289	
93.357	90.408	96.306	
93.364	90.415	96.312	
93.367	90.418	96.315	
93.367	90.419	96.315	
93.368	90.42	96.316	
93.368	90.42	96.316	
93.368	90.42	96.316	
